identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2,aliases
b54cc792,C Bray,C Bray,,,,,,,1454764.0,,,,,,,,,,,,,
80f9fd4f,C Brennan,C Brennan,,,,,,,1278236.0,,,,,,,,,,,,,
458a21f3,C Breteche,C Breteche,,,,,,,1196244.0,,,,,,,,,,,,,
baf11c9a,C Brewer,C Brewer,,,,,,,1184180.0,,,,,,,,,,,,,
d8cd0b9b,C Brits,C Brits,,,,,,,54634.0,698275.0,,,,,,,,,,2991.0,,
4751caa3,CBRLS Kumara,CBRLS Kumara,,,,,,,784375.0,,,,1439522.0,,,,,,,3085.0,,"L Kumara, Lahiru Kumara"
53e855df,C Brooks,C Brooks,,,,,,,1230101.0,,,,,,,,,,,,,Carl Brooks
31f01815,CB Roposo,CB Roposo,,,,,,,1347290.0,,,,,,,,,,,,,
76264219,CB Rowell,CB Rowell,,,,,,,1475893.0,,,,,,,,,,,,,
d504bc4c,C Brown,C Brown,,,,,,,1159667.0,,,,,,,,,,,,,
0e36faa1,CB Simmons,CB Simmons,,,,,,,1263694.0,,,,,,,,,,,,,
469ccead,CB Sole,CB Sole,,,,,,,671823.0,,,,,,,,,,,1652.0,,C Sole
a7b3bd26,C Bull,C Bull,,,,,,,1301602.0,,,,,,,,,,,,,
d8c6111c,C Burgess,C Burgess,,,,,,,364134.0,,,,,,,,,,,,,
487b2fef,C Burke,C Burke,,,,,,,36315.0,,,,734.0,,,,,,,,,"Cecil Burke, Ces Burke"
6bc979eb,CB van Ryneveld,CB van Ryneveld,,,,,,,47704.0,,,,892.0,,,,,,,,,Clive van Ryneveld
8319b9ea,CB Wishart,CB Wishart,,,,,,,55854.0,,,,2222.0,,,,,,,,,Craig Wishart
4b69c598,CC Ainsworth,CC Ainsworth,,,,,,,1350560.0,,,,,,,,,,,,,
d0a2319d,CC Alexander,CC Alexander,,,,,,,51118.0,,,,,,,,,,,,,
478a63e7,C Campher,C Campher,,,,,,,595921.0,,,,2017187.0,,,,,,,5124.0,,
f3b158d9,C Carmichael,C Carmichael,,,,,,,946283.0,,,,,,,,,,,,,
1e25b5bf,C Carter,C Carter,,,,,,,919493.0,,,,,,,,,,,3156.0,,
2d03c3f8,C Cassell,C Cassell,,,,,,,1444192.0,,,,,,,,,,,,,
a7e221c3,C Cato,C Cato,,,,,,,307192.0,,,,,,,,,,,,,
6559e4b8,CC Benham,CC Benham,,,,,,,10309.0,,,,,,,,,,,,,
e91933cb,CC Blake,CC Blake,,,,,,,524269.0,,,,,,,,,,,,,
4412ede5,CC Dalton,CC Dalton,,,,,,,469884.0,,,,,,,,,,,,,
180f0bc3,CC Depeiaza,CC Depeiaza,,,,,,,51652.0,,,,1014.0,,,,,,,,,"Clairmonte Depeiaza, Clairmonte Depeiza"
c5d9be73,CC Griffith,CC Griffith,,,,,,,51907.0,,,,1130.0,,,,,,,,,Charlie Griffith
da61a9af,C Chatonzwa,C Chatonzwa,,,,,,,317146.0,,,,,,,,,,,,,
85c56be8,C Chatphaisan,C Chatphaisan,,,,,,,1322787.0,,,,,,,,,,,,,
ef4f539a,C Chete,C Chete,,,,,,,1163387.0,,,,,,,,,,,,,
27ca3a11,C Chetty,C Chetty,,,,,,,322815.0,,,,,,,,,,,,,
bb0aac11,C Chukwuonye,C Chukwuonye,,,,,,,543955.0,,,,,,,,,,,,,
39f7d41f,CC Hunte,CC Hunte,,,,,,,52070.0,,,,1063.0,,,,,,,,,Conrad Hunte
9cfee623,C Cirlig,C Cirlig,,,,,,,1390775.0,,,,,,,,,,,,,
1bd69aec,C Classen,C Classen,,,,,,,595408.0,,,,,,,,,,,,,
d768b3ce,CC Lewis,CC Lewis,,,,,,,16274.0,,,,1969.0,,,,,,,,,Chris Lewis
5992ef03,CC Machado,CC Machado,,,,,,,1454409.0,,,,,,,,,,,,,
30048047,CC McDonald,CC McDonald,,,,,,,6554.0,,,,920.0,,,,,,,,,Colin McDonald
fe366f34,C Connolly,C Connolly,,,,,,,1210488.0,,,,,,,,,,,,,
20c4e431,C Cook,C Cook,,,,,,,10792.0,,,,772.0,,,,,,,,,"Cecil Cook, Sam Cook"
59e2c4ec,CC Passailaigue,CC Passailaigue,,,,,,,52799.0,,,,557.0,,,,,,,,,"Charles Passailaigue, Clarence Passailaigue"
76b93b1c,C Creswell,C Creswell,,,,,,,11696.0,,,,,,,,,,,,,Charles Creswell
9b671b41,C Crowe,C Crowe,,,,,,,1344429.0,,,,,,,,,,,,,
b135be0d,C Cummings,C Cummings,,,,,,,1479989.0,,,,,,,,,,,,,
4eebb3e5,CC van Slobbe,CC van Slobbe,,,,,,,577360.0,,,,,,,,,,,,,
